is_bad,member_id,loan_status,emp_title,emp_length,home_ownership,annual_inc,pymnt_plan,desc,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,revol_util_percent,policy_code,Partition
No,M0709516,Fully Paid,Mayo Clinic,3 years,RENT,58100,n,"Good afternoon everyone.  I greatly appreciate your assistance in getting this funded.  I am a 28 y/o professional that helps Drs. at a world Famous hospital in Minnesota get funding for research to help patients.  I love having the opportunity to make the lives of cancer patients better, and help develop new techniques for radiation oncology.  It is incredibly stressful, but also reqarding. Life hit a speed bump when I was diagnosed with severe depression and anxiety earlier this year, and then got worse when my wife decided that she was going to divorce me.  Because of the divorce my wife has kind of taken control, and I pretty much only see my adorable 15 month old daughter every other Saturday.  (I'm tearing up just thinking about it.)  My plan with this money is to assist me with divorce attorney fees because my family has never had money like her family has.  I also want to purchase a cruiser motorcycle that I can use for the occasional trips to visit my daughter where my soon to be ex leaves the house and I spend time with my little girl there.  I think this will really save on gas money.  Also, I just think that riding on the open road (helmet for me of course), would be a great stress reliever.  I really just need to feel less stress..., feel happy, and feel normal again.  Thank you for all of you that look at this and help.  I could really use this for so many reasons right now.  I hope it will happen.  Thank you all in advance.  You have no idea how much it means to me.  Sincerely, Seth B. Thank everyone so much.  If  I am fortunate enough to obtain this loan, it will be used for a bike.  It will also be used to pay off some higher interest credit cards, and medical bills that I was left with as the result of a recent divorce.  Thank you all so much in advance.  I hope this is able to come through soon.  Best Regards. Thank you all so much.  I am just finishing going through a divorce, and this will help with medical bills I was left with so that they can be paid and the hospital won't try to be collecting from me.  Also, I was left with a higher interest card with a balance and this would help take care of that.  Also, I have been through a great deal since before last November (depression, illness, injury, divorce...and now I am only currently able to see my 15 month old daughter every other Saturday, and that's usually not even spending the night...) I have always wanted a bike (non-sports/rocket) in order to get some open air (helmet of course), and just try to be a little bit happier since it has been so long since I have.  I appreciate all of your help.  Thank you, and best regards. Thank you everyone that has helped so far.  I really appreciate it.  I just wanted to let it be known that I will have additional medical expenses for myself that would also need to be covered by this.  This will help with costs, and fees that the hospital would normally add on, but will then take away from the &quot;stress relief&quot;/'fun money&quot;.  (It is more important for me to get bills taken care of than to purchase a bike as a post divorce stress-reliever, even though I think it would have assisted me with some other issues I am currently dealing with.  Once again I appreciate all of your help and consideration.  It means so much to me. Best Regards. Thank you all so much so far.  I hope this can help me move on a bit faster.  The process has went quickly so far.  I really hope this can be funded.  It's so close. Thank you and best regards. Thank you all.  I hope my answers and details have helped.  Everyone have a good day.",559xx,MN,18.82,0,6/1/00,5,35,NA,9,0,98.2,28,FALSE,0,NA,98%,1,T
No,M0901834,Fully Paid,chase,1 year,RENT,46000,n,thank you pay off credit card bills and to pay off credit card bills/ debt consolidation pay off credit cards / debt consolidation I need this loan because i got myself into a little bit of a problem with credit cards. This loan will help me back back the credit card complany and save me so much money and time in the future. I have two jobs and i work very hard. Paying back the loan wont be a problem for me either. Come on investors I need your help. My loan is almost fully funded. I would like to start paying off my credit cards this week so april's statement doesnt come intoi play. Please im asking all of you. Please help me out. I will have no problem paying off this loan in 3 years.,109xx,NY,13.2,1,10/1/99,3,10,NA,11,0,51.2,22,FALSE,0,NA,51%,1,T
No,M0639086,Fully Paid,Hope Lake Lodge,< 1 year,RENT,19200,n,Hoping to buy furniture for my apartment when I return home from completing my bachelors degree at SUNY Cortland in May,139xx,NY,17.94,0,10/1/06,0,NA,NA,14,0,12.9,14,FALSE,0,NA,13%,1,T
No,M1040370,Fully Paid,National Security Technologies,1 year,MORTGAGE,107000,n,This loan will be used to pay back taxes and my 2 credit cards off.  Providing a central location to pay this debt.,891xx,NV,18,1,6/1/95,0,18,NA,5,0,97.1,23,FALSE,0,NA,97%,1,T
No,M0854099,Fully Paid,Konica Minolta,10+ years,MORTGAGE,120000,n,I am looking ofr a loan so that I can replace my septic system.,481xx,MI,14.44,1,2/1/94,0,4,NA,14,0,59.8,31,FALSE,0,NA,60%,1,T
No,M0951763,Fully Paid,powertrack international,10+ years,MORTGAGE,84000,n,,926xx,CA,16.59,0,3/1/81,1,NA,NA,7,0,59.8,33,FALSE,0,NA,60%,1,T
Yes,M1062145,Charged Off,PINE BLUFF ARSENAL,8 years,OWN,50000,n,Home Improvement to complete exterior and interior projects,716xx,AR,12.98,0,10/1/82,3,NA,NA,7,0,83.1,11,FALSE,0,NA,83%,1,T
No,M1222472,Fully Paid,Hewlett-Packard,3 years,RENT,109000,n,,950xx,CA,14.36,0,3/1/98,0,NA,NA,11,0,50.2,35,FALSE,0,NA,50%,1,T
No,M0705908,Fully Paid,Walgreen,5 years,OWN,24000,n,,117xx,NY,10.05,0,11/1/05,1,37,NA,5,0,39.7,11,FALSE,0,NA,40%,1,T
No,M0589252,Fully Paid,NA,< 1 year,OWN,15600,n,,890xx,NV,6.38,0,9/1/06,0,NA,NA,2,0,99.6,3,FALSE,0,NA,100%,1,T
No,M1057080,Fully Paid,University of California -- San Francisc,10+ years,RENT,34482,n,"My sincerest wish at this point in my life is to be free of credit cards and the overwhelming interest rates. The largest interest rate is 23% and the monthly minimum is so out of proportion that I have a sense of being an indentured slave with no hope of attaining the goal of paying the balance. I want to be rid of the cards and pay my debts with an aim to succeed. I will be answering the specific questions I have been asked later today when I am in the office. Thank you all who have already reached out to help me. I believe I will make a good borrower because I have never missed a rent payment, never been late or missed a payment with gas and electric companies; I make my payments to telephone and dsl service monthly and live relatively simply and feel secure in my work. null",941xx,CA,5.71,0,1/1/02,0,NA,NA,4,0,94.2,7,FALSE,0,NA,94%,1,T
No,M0686357,Fully Paid,Attitudes in Dressing  Inc,10+ years,MORTGAGE,54996,n,I have been emplyed at my job for 10 years and I plan to be here for a while longer.  I am using this loan to pay for my wedding which is coming in August.,071xx,NJ,4.65,0,3/1/94,2,NA,NA,9,0,57.7,17,FALSE,0,NA,58%,1,T
No,M1298673,Fully Paid,Ohio Attorney General,1 year,RENT,42000,n,,432xx,OH,4.34,0,3/1/08,0,NA,NA,3,0,68.5,3,FALSE,0,NA,68%,1,T
No,M1289394,Fully Paid,Lime Energy,3 years,OWN,80004,n,,088xx,NJ,23.92,1,7/1/00,3,19,NA,8,0,76.8,17,FALSE,0,NA,77%,1,T
No,M0770540,Fully Paid,Tessada & Associates,8 years,OWN,46000,n,,233xx,VA,13.88,0,1/1/92,1,40,NA,4,0,86,27,FALSE,0,NA,86%,1,T
No,M1244667,Fully Paid,Heath Tecna,4 years,RENT,48000,n,,982xx,WA,6.35,0,4/1/06,2,NA,NA,5,0,23.2,7,FALSE,0,NA,23%,1,T
No,M0585736,Fully Paid,PVPUSD,5 years,RENT,37000,n,585736 added on 12/07/09 > I plan on helping my daughter finish her education and I have a very stable job to be able to pay back my loan 585736 added on 12/07/09 > I plan on helping my daughter complete her college education and I have a very stable job to pay back my loan,902xx,CA,6.36,0,9/1/79,4,44,NA,8,0,20.3,22,FALSE,0,NA,20%,1,T
No,M1053669,Fully Paid,Bergman eye center,3 years,RENT,32640,n,,217xx,MD,3.09,0,12/1/05,1,53,NA,2,0,49,6,FALSE,0,NA,49%,1,T
No,M1191494,Current,Maritz Research,< 1 year,RENT,39996,n,,631xx,MO,7.8,0,7/1/08,1,NA,NA,6,0,55.8,7,FALSE,0,NA,56%,1,T
Yes,M0647233,Charged Off,Permapier Foundation Repair,3 years,MORTGAGE,69582,n,"The business I intend to purchase is a small foundation repair company located in north Texas.  The company has been in business for over 20 years and is BBB (Better Business Bureau) accredited.   The seller is re-locating out of state and has agreed to owner financing at a favorable rate and favorable terms.  I am using my own funds for the down payment, I am asking for $14,000 from investors for the following:  -Advertising campaign:  The company does no advertising.  I plan to use approximately 25% of the investor supplied funds to run an initial advertising campaign in local newspapers, the internet (Google, Yahoo, and Service Magic), and direct mailing.  After the initial advertising campaign, 5% of revenue will be used for advertising.  -Update the companyÌ¢åÛåªs electronic equipment:  The electronic equipment the company uses can only be described as antiquated.  Paperwork that is currently presented to the prospective customer is hand written hard copy.  I will use 20% of investor supplied funds to purchase a field laptop, portable printer, and necessary software.  The impact on a prospective customer of a hand written proposal vs. a color, graphical electronic printout is well worth the cost.  -Company Image:  I will use 20% of the investor supplied funds to update the company image.  The company does not have a website so a website will need to be developed and hosted.  Business cards, printed brochures, folders will need to be purchased also.  The company has no uniforms.  Uniforms for the crew and evaluator will give the company a more professional appearance.  The truck the company uses to haul the crew and heavy duty equipment is 14 years old.  It runs well but the appearance leaves much to be desired.  I will have the truck painted.  I will also have the company logo and contact information printed on the truck.  The company trailer will get the same treatment.  -Job materials: 20% of investor supplied funds will be set aside materials that will need to be purchased to complete the first job.  -The remaining investor supplied funds will be used for miscellaneous expenses that will arise during ownership transition such as legal fees.  I do not intend to fundamentally change the way the company does business.  The company has been in business for many years and has had success; they do quality work at a reasonable price.  I want to give the company a more professional appearance and expand on its success through advertising and public awareness.",762xx,TX,9.61,0,2/1/01,3,38,NA,7,0,14.7,19,FALSE,0,NA,15%,1,T
No,M0157770,Fully Paid,NA,< 1 year,RENT,50000,n,Hi. I recently purchased a motorcycle and with it being my first substantial purchase I got suckered into a huge APR that I didnt see in the fine print.  Hopefully I can get help to get this interest rate down a substantial amount.  I have excellent credit I just want to right a mistake.  I have a stable job as an engineer.  Again all I am looking for is a loan with a reasonable interest rate.  Thank you very much for your time and for reading.,280xx,NC,4.51,0,3/1/06,0,0,0,4,0,7,5,FALSE,0,NA,7%,1,T
No,M1291116,Fully Paid,Motion Point,3 years,RENT,46000,n,I also have a spouse who will be paying this loan with me who is a full time employee.  This loan is to pay off my credit cards which i currently pay between 500-700 per month this loan would bring them all down to 0 saving me 100-200 per month.,330xx,FL,6.1,0,3/1/07,0,NA,NA,7,0,91,9,FALSE,0,NA,91%,1,T
Yes,M1065574,Charged Off,Department of Defense/US Navy,10+ years,OWN,103000,n,"Small Business Loan: I have very stable employment with over 29 years and current with my employer. I will use this loan to help my small business successfully launch production of our one of a kind charter product. The launch of our product is anticipated to create over fifty manufacturing jobs within six months. I have sufficient re-ocurring income to service all my obligations inclusive of this loan. Further supporting my independent ability to meet all obligations, my small bussiness has provided to me sufficient financial note fully covering all my liabilities. There is a large probability that the entire loan will paid in full by January 2012. I thank the Lending Club in advance for being able to provide a potential means of financing for my small business.",327xx,FL,8.92,0,11/1/83,4,61,NA,10,0,40.6,27,FALSE,0,NA,41%,1,T
No,M1060506,Current,Regal Bank & Trust,6 years,RENT,48000,n,"*I plan to utilize the funds to assist with credit card and personal debt repayment. *I am an excellent borrower, as all debt is paid in full and on time. I understand the importance of establishing and maintaining a good credit record. *My job is stable, as I am employable, and have been employed by a financial institution since December 2005. *Thank you, in advance, for your considerations.",212xx,MD,19.5,0,4/1/98,2,NA,NA,6,0,96.8,14,FALSE,0,NA,97%,1,T
No,M0924087,Fully Paid,NA,9 years,MORTGAGE,120000,n,,025xx,MA,8.49,0,11/1/92,3,NA,NA,8,0,52.9,50,FALSE,0,NA,53%,1,T
No,M1029210,Fully Paid,LGH,5 years,MORTGAGE,60000,n,This will be going towards wedding funds.,175xx,PA,14.02,0,10/1/02,1,NA,NA,12,0,19.8,21,FALSE,0,NA,20%,1,T
No,M1050212,Current,Kantor Taylor Nelson Boyd & Evatt PC,1 year,MORTGAGE,162500,n,"This Loan is intended to consolidate and refinance outstanding credit card debt.  Most of this debt relates to medical expenses and other out of budget expenditures.  I am current on all outstanding obligations with no late payments or other public records.  I have been employed without interruption since 1996 and my bcurrent job is very stable.  Health insurance in my current job is signifcantly better than in my prior job, and covers a greater proportion of our medical expenditures, reducing our &quot;out of budget&quot; medical expenses.  This Loan will allow us to shave approximately $300 per month from our monthly budget.  My intent with this savings is to cut back on credit card expenditures, and establish a reserve to be used to cover other unexpected expenses while repaying this loan.  The goal is to be debt free (other than mortgage and student loan) by the maturity date of this Loan. This loan is intended to refinance existing credit card debt.  Most of this credit card relates to medical expenses and other &quot;out of budget&quot; expenses.  I am and have been current on all outstanding debts with no late payments or public records.  My current job is very stable.  My current job also has much better medical insurance, which covers a greater portion of our medical expenses.  Because we are now spending less out of pocket on medical expenses, I believe this loan should allow me to bring our overall debt load down.  My goal is to use any addtional available cash to prepay this loan and be debt free (other than mortgage and student loan), with 36-48 months.",972xx,OR,6.85,0,7/1/87,0,NA,NA,6,0,62.8,22,FALSE,0,NA,63%,1,T
No,M1010103,Fully Paid,Energy Solutions,< 1 year,RENT,60000,n,,945xx,CA,8.04,0,1/1/00,0,NA,NA,5,0,50.5,18,FALSE,0,NA,50%,1,T
No,M0824296,Fully Paid,Frito- Lay Inc,6 years,MORTGAGE,63000,n,,028xx,RI,2.27,1,12/1/97,3,19,NA,9,0,3.5,22,FALSE,0,NA,4%,1,T
No,M0842646,Fully Paid,Saint Lukes Hospital,10+ years,MORTGAGE,125000,n,"Do not want to use a credit card, but want to give my one and only daughter the wedding she deserves after all the joy and happiness she has given her mother and myself. I am a pharmacist at St. Lukes. I am clinical coordinator which means I supervise the pharmacy residents which we currently have 6 in a 1 year residency program. I have been there over 20 years. Last year I was hired by the FDA as a consultant and worked in DC up to twice a month on drug approvals and &quot;black box&quot; issues. My wife is a pharmacy tech with CVS/Caremark Specialty Pharmacy. She is a lead tech over 13 techs currently and has been with them going on 6 years. My wife and I are planning on paying this loan down sooner than the 5 years as we also have a son who will be returning in Oct. from his service in Brasil on a 2 year church mission. He will return to college in Jan. 2012. We never thought to save for a wedding, just college!  Partial funding would be great, her wedding is in April of 2011. Hope this information helps.",662xx,KS,25.06,0,7/1/83,1,NA,NA,16,0,45.8,27,FALSE,0,NA,46%,1,T
No,M1106262,Fully Paid,US Navy,9 years,MORTGAGE,95000,n,This is to purchase new windows for my home.,919xx,CA,7.3,0,11/1/00,0,NA,NA,6,0,11.6,11,FALSE,0,NA,12%,1,T
Yes,M1218497,Charged Off,G4S Secure Solutions,5 years,RENT,51928,n,,920xx,CA,20.22,0,11/1/05,0,NA,NA,10,0,32.4,12,FALSE,0,NA,32%,1,T
Yes,M1100861,Charged Off,excalibur,10+ years,MORTGAGE,57600,n,,891xx,NV,16.9,0,4/1/99,2,NA,NA,6,0,27.1,27,FALSE,0,NA,27%,1,T
No,M1037529,Fully Paid,Suddenlink,7 years,RENT,36000,n,,797xx,TX,15.63,0,5/1/99,2,72,NA,4,0,25,17,FALSE,0,NA,25%,1,T
No,M0695681,Fully Paid,US Navy,10+ years,MORTGAGE,79200,n,"To pay off debt 8500 to master card , 5500 to navy exchange and 1300 to best buy. The reason I have this debt is due to a recent divorce after 81/2 years. The rest of the money around 8000 will be uses to pay towards the remaining principle on my car. This loan will allow me to have one payment and focus on being debt free. I have good credit and pay my bills on time own a house in CA and have a 30 year fix rate loan at 4.95% so I must be doing something right. If I had equity in my house I would do a heloc to clear all this up but the market hasn't been good here. I am on my way to getting back to normal and this will help me. Please believe in me and allow me to be debt free and you to make money.",919xx,CA,6.39,0,1/1/01,1,NA,NA,4,0,30.3,7,FALSE,0,NA,30%,1,T
No,M1236553,Fully Paid,Xerox,1 year,RENT,31200,n,Paying down credit cards and refinancing the remaining balance to a lower interest rate.,146xx,NY,8.88,0,3/1/05,0,NA,NA,6,0,37.6,13,FALSE,0,NA,38%,1,T
Yes,M1243471,Charged Off,NOVA,8 years,RENT,73000,n,,220xx,VA,14.1,0,8/1/95,0,78,89,4,1,86.7,14,FALSE,0,NA,87%,1,T
No,M0779261,Fully Paid,US Bank,< 1 year,MORTGAGE,82000,n,"credit card consolidation loan no late payments for 8 yrs, 82K salary",554xx,MN,14.25,0,11/1/94,0,NA,100,12,1,76.9,29,FALSE,0,NA,77%,1,T
No,M1065735,Fully Paid,Tazewell County Sheriffs Office,8 years,MORTGAGE,35500,n,I am paying well over 300.00 dollars every month now on just the min payment and paying it off will take years.  If this loan is funded I will be paying less than I do now and the debt will be paid in 36 months.,246xx,VA,23.8,1,7/1/01,1,18,NA,17,0,26.7,28,FALSE,0,NA,27%,1,T
No,M1225061,Fully Paid,NA,n/a,RENT,21040.2,n,I am requesting a loan to Consolidate all my debt to make it easy for me to get rid of my debt sooner. I have always paid my bills on time and with the economy the way it is i am finding it harder to stay ahead of the game. I want to make it easier by making just one payment and having some money left over to put into a savings account.,922xx,CA,16.69,0,12/1/96,1,NA,NA,7,0,58.6,18,FALSE,0,NA,59%,1,T
No,M0870027,Fully Paid,Jeffrey Gitomer's TrainOne,2 years,MORTGAGE,41500,n,"Dear Investor,  The borrowed funds will be put toward our wedding this year. I have always had an excellent credit score, I have never defaulted on a loan or gone into collections with any outstanding debt. My employment has been steady and I have been with my current job since 2008. Each month, I carefully monitor my outgoing payments and try to spend conservatively by limiting extraneous expenses. I believe I am a quality candidate for a loan from LendingClub.",282xx,NC,8.82,0,1/1/99,0,NA,NA,6,0,43.7,13,FALSE,0,NA,44%,1,T
No,M1006418,Current,Pacific Maritime Association,10+ years,MORTGAGE,140000,n,,925xx,CA,13.89,0,8/1/84,1,NA,NA,10,0,5.9,28,FALSE,0,NA,6%,1,T
No,M0344147,Fully Paid,"Vacuum Barrier Alliance, Inc.",8 years,MORTGAGE,100000,n,Short term loan for business travel expenses,950xx,CA,21.54,0,5/1/96,0,26,NA,20,0,31.8,34,FALSE,0,NA,32%,1,T
Yes,M0667291,Charged Off,Fire Department of the City of New York,10+ years,MORTGAGE,90000,n,"This loan will be used to fund a business start up. I plan on getting into the aerial photography field. I will be using a technology of mounting a camera on a battery powered unmanned aerial vehicle (uav). This will be targeted to video producers, construction sites, high end real estate agents and municipalities for search and rescue.  These funds will be used to cover the initial cost of starting a business..  Thank you! As I've mentioned in a answer to a question, I am also a LendingClub investor. *********If not fully funded by the deadline, I plan on relisting this loan as is.  Thank you*********",119xx,NY,15.2,1,5/1/95,0,10,NA,25,0,41.7,53,FALSE,0,NA,42%,1,T
No,M1049803,Fully Paid,North Modesto Church of God,3 years,MORTGAGE,70000,n,,953xx,CA,9.19,0,7/1/86,2,NA,NA,5,0,20,15,FALSE,0,NA,20%,1,T
No,M1276178,Fully Paid,NA,4 years,MORTGAGE,90000,n,"...my home is a new construction home, a year old now; I chose to not have the backyard sodded and rejected the builder's   fairly plain patio upgrade.  So, as I mentioned in the title, I pretty much have free reign to do as I please.  It's been a   year now and it's time to get moving on it; there's 2000 square feet of nothingness back there.  I've applied the   appropriate herbicides to clear the wild brush and I've tilled and turned most of the land myself.  Now I need materials   and resources.  I'm currently taking bids for small pools.  Not sure if I'll go that route as they can get quite expensive,   but it's a bit of a dream.  I'm definitely doing a paverstone covered patio and some serious landscaping.  A moderate   fountain/pond is in the plans, as well.   I'm a good borrower because the trend of my life over the past five years would indicate such.  Five years ago, my credit   score was very poor.  It's currently plenty good enough for my listing to be accepted.  I've worked very hard since a short   tenure of financial ignorance to establish my creditworthiness.  I keep track of every dollar.  I can tell you the   remaining balances on all my debts, when payment on them is due, and the minimums required.    I'm comfortable in the $650.00 payment range.  The initial lending club offer when I submitted my data was $25000.00 for   five years, paying $638.00 monthly.  I chose the alternate three-year, $20000.00 offer, paying $668.00 payment because it   just seemed like a better situation for all, including investors.  I've been in the same industry for four years now.  Work is stable and is expected to be for some time to come.  Thank you all for your consideration.  I'll try to answer any questions quickly and effectively.",762xx,TX,8.41,0,4/1/02,0,41,NA,9,0,39.1,16,FALSE,0,NA,39%,1,T
No,M0865822,Current,West Haven Board of Education,7 years,RENT,69996,n,,065xx,CT,12.81,0,1/1/79,0,NA,NA,14,0,62.3,18,FALSE,0,NA,62%,1,T
No,M0972591,Fully Paid,Maxim Healthcare Servivces,1 year,RENT,38400,n,"Thank you so much for considering my application! I look forward to doing business with you, and getting details of repayment.",934xx,CA,24.22,0,11/1/98,1,NA,NA,11,0,55.4,15,FALSE,0,NA,55%,1,T
Yes,M1036934,Charged Off,CDW Merchants,< 1 year,RENT,32500,n,,606xx,IL,12.85,0,3/1/99,1,NA,NA,8,0,77.9,24,FALSE,0,NA,78%,1,T
Yes,M1285518,Charged Off,US Army,10+ years,RENT,72000,n,,995xx,AK,20.75,1,5/1/96,2,6,NA,8,0,16,23,FALSE,0,NA,16%,1,T
No,M0761829,Fully Paid,ibew local union #3,10+ years,MORTGAGE,74000,n,,106xx,NY,8.69,0,7/1/89,0,NA,NA,7,0,61.2,32,FALSE,0,NA,61%,1,T
No,M0252305,Fully Paid,U.S. Army,5 years,RENT,32400,n,$3500.00 personal loan,706xx,LA,0.56,0,3/1/05,0,0,0,2,0,28.6,2,FALSE,0,NA,29%,1,T
No,M0669263,Fully Paid,Dr. Cecil eye care,< 1 year,MORTGAGE,52272,n,"I am hoping to pay off my consolidate my credit cards so I may pay off the high interest. With any extra money left I will use it to help finish our backyard that is completely dirt, so my kids will have a place to play. I am lucky to have a very stable job in the medical field I will be a good borrower since I always pay my bills on time with extra if possible. I have recognized my limits and I am wanting to do something about it. I am an Ophthalmic Techinican. I have worked in fast food, done babysitting, and for the Longaberger Co for 12 years. I have had employment since 11 starting with a newspaper route. I do not need to work now due to my husbands job, but I want to contribute to my family. Obtaining this loan will help me to pay off high interest credit cards faster.",806xx,CO,21.79,0,3/1/96,6,50,105,7,1,74.2,22,FALSE,0,NA,74%,1,T
No,M1042847,Fully Paid,Comm. of Mass.,10+ years,OWN,52000,n,Loan will be paid in full in less than time allowed.. Hi.  I am looking for some extra money to help with some repairs around my home.  I am currently employed by the state of Mass and have been since 1998.  I have very good credit and not much debt.  I will be able to pay this off within a year or so.  This money will enable me to complete the tasks needed.  My job is not in any jeopardy at all...Thank you.,027xx,MA,9.02,0,12/1/89,0,65,NA,9,0,48.8,33,FALSE,0,NA,49%,1,T
No,M1042650,Fully Paid,Ollis & Co,3 years,MORTGAGE,35000,n,"I accumulated a lot of credit card a few years back due to a family emergency.  It has been a couple of years since then, but I can't seem to make any dent due to the high interest rates. My current combined minimum payments are $335 which I pay on or before the due date every month. I have also been making additional payments made towards the card with the highest interest rate. As this would be replacing my credit card payments, feel completely comfortable with the payment amount for this loan.  I am currently employed in the property and casualty insurance industry. I have been in this industry for over 8 years,  working at my current place of employment for about two and a half years. The company I work for is over 125 years old and I feel completely stable in my position.",658xx,MO,22.05,0,10/1/01,0,24,NA,12,0,83.4,27,FALSE,0,NA,83%,1,T
No,M1283117,Fully Paid,University of Minnesota,7 years,RENT,25279.67,n,,551xx,MN,16.8,0,6/1/05,0,NA,NA,3,0,93.1,12,FALSE,0,NA,93%,1,T
No,M0863306,Fully Paid,Rebling Plastics,7 years,RENT,61500,n,"Hi - this loan is for the sole purpose of paying off my existing Lending Club Loan.  Please feel free to ask me questions.  As you will see, I have great credit - thanks!",189xx,PA,20.29,0,12/1/84,1,77,NA,11,0,24.4,40,FALSE,0,NA,24%,1,T
