member_id,loan_status,emp_title,emp_length,home_ownership,annual_inc,pymnt_plan,desc,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,revol_util_percent,policy_code
M1400989,Fully Paid,Tech Data Corporation,4 years,RENT,42600,n,"This is for wedding expenses for my fiance and me.  We are paying for our wedding ourselves.  Any helo you could provide would be a tremendous help!  Thank you! Also a side note.  I know it has my monthly income as ~$2600 and looks bad compared to the loan request and considered high risk.  I am assuring you that my future wife and I will be repaying this loan.  Between the both of us, our monthy income exceeds $5200.  She has been at her job just short of 5 years as well.  Thanks again! Also a side note.  I know it has my monthly gross income as $3550, which looks bad compared to loan request and considered high risk.  I am assuring you that both my future wife and myself will be repaying this loan.  Her gross income excees $3500 and has been at her job just short of 5 years as well.",336xx,FL,11.89,2,5/1/1997,6,7,NA,5,0,20.2,12,FALSE,0,NA,20%,1
M1400990,Fully Paid,NA,n/a,MORTGAGE,80000,n,NA,917xx,CA,9.57,0,5/1/1994,0,NA,NA,12,0,38.1,42,FALSE,0,NA,38%,1
M1400991,In Grace Period,Sacred Journey Hospice,1 year,MORTGAGE,101000,n,This is a loan to pay off credit card debt,302xx,GA,16.27,0,10/1/1998,0,62,NA,13,0,82.2,25,FALSE,0,NA,82%,1
M1400992,Fully Paid,Booz Allen Hamilton,7 years,MORTGAGE,126000,n,"Hello! I am requesting this loan to refinance a fairly high-interest rate credit card. Due to a family emergency, I unfortunately spent most of 2010 without the time or bandwidth to tend my finances the way I should have. This refi wraps up a year of selling too-expensive cars, paying off other debt, refinancing the house, and otherwise getting my act together.  I have been employed by the same firm for nearly seven years and am in a very stable position. Further, as noted below, the terms of my employment dictate that I maintain a minimum credit rating and not default on any debt. I hope you will consider me for your investment; please let me know if you have any questions.",223xx,VA,22.72,1,5/1/1996,1,12,NA,9,0,89,31,FALSE,0,NA,89%,1
M1400993,Fully Paid,Synthes USA,4 years,RENT,33000,n,Debt Consolidation,193xx,PA,18.04,0,5/1/2001,1,NA,NA,3,0,100,14,FALSE,0,NA,100%,1
M1400994,Fully Paid,T J MAX,4 years,RENT,36000,n,NA,185xx,PA,9,1,8/1/2005,2,9,NA,4,0,37.6,8,FALSE,0,NA,38%,1
M1400995,Fully Paid,Austin Home Base Community School,2 years,RENT,22200,n,NA,787xx,TX,12.59,0,5/1/2001,1,51,NA,3,0,7.9,5,FALSE,0,NA,8%,1
M1400996,Fully Paid,Clear Edge Filtration,10+ years,MORTGAGE,27600,n,thank you for your consideration thank you,131xx,NY,14.7,1,10/1/1977,0,7,NA,2,0,93,6,FALSE,0,NA,93%,1
M1400997,Fully Paid,"Lydon, Fetterolf, Corydon, P.A.",< 1 year,RENT,50000,n,The loan is to consolidate some credit cards and student loans for a lower monthly payment per month.  Will give me extra room to devote to savings and retirement planning for the future.,208xx,MD,23.42,0,9/1/2001,0,NA,NA,10,0,74.9,22,FALSE,0,NA,75%,1
M1400998,Fully Paid,Good Food Inc.,2 years,RENT,34000,n,"562256 added on 10/24/09 > I plan on consolidating my credit cards into one monthly payment, I have always paid all of my bills on time and in full.",458xx,OH,20.79,0,6/1/2003,0,NA,NA,4,0,62.8,9,FALSE,0,NA,63%,1
M1400999,Fully Paid,Physio-Control Inc,10+ years,MORTGAGE,52500,n,I will use the loan to pay off my high interest credit card. I have worked at my job 18 years.,980xx,WA,12.21,0,11/1/1997,0,NA,NA,11,0,60.8,17,FALSE,0,NA,61%,1
M1401000,Fully Paid,Rockcastle County Board of Education,10+ years,RENT,55259,n,NA,404xx,KY,22.96,1,6/1/1999,0,6,NA,6,0,90.6,19,FALSE,0,NA,91%,1
M1401001,Fully Paid,Semcac Head Start,3 years,RENT,15000,n,NA,550xx,MN,18.32,1,12/1/2005,2,6,NA,2,0,11.4,4,FALSE,0,NA,11%,1
M1401002,Fully Paid,Melinda Randolph,5 years,RENT,36000,n,NA,941xx,CA,21.23,0,11/1/2000,1,NA,NA,12,0,61.2,27,FALSE,0,NA,61%,1
M1401003,Fully Paid,Best Buy,< 1 year,RENT,20743,n,"I will begin graduate school on July; my major is MBA with concentration in finance. This loan is to help me get a notebook, books and other supplies that i will need for school. I will pay this loan ealier than the life of it. You are not just lending me money to pay for these school essentials; you are investing in someone's future. Thank you!",331xx,FL,2.31,0,10/1/1997,0,NA,NA,9,0,57.7,23,FALSE,0,NA,58%,1
M1401004,Current,Pennyslvania College of Technology,10+ years,MORTGAGE,52000,n,NA,177xx,PA,22.68,0,1/1/1995,1,NA,NA,11,0,97,26,FALSE,0,NA,97%,1
M1401005,Fully Paid,Crane America,4 years,MORTGAGE,42000,n,I'm looking into buying a Honda Goldwing on ebay.,354xx,AL,3.43,0,2/1/1987,0,NA,NA,6,0,18.4,22,FALSE,0,NA,18%,1
M1401006,Fully Paid,"EDT Instrumentation Co., Inc.",7 years,RENT,65000,n,"Now that my income is much greater than my expenses, I'm getting a jump on paying off my credit cards to take them off their limits. This will greatly help and speed up the process. null",600xx,IL,7.68,0,12/1/2002,1,NA,NA,4,0,100,9,FALSE,0,NA,100%,1
M1401007,Charged Off,Southlake Baptist Church,< 1 year,RENT,30000,n,"I would like to erase my debt with credit card companies completely. I believe that this loan would help me to pay off the creditors and begin to live a debt free life! Once paying off the creditors, I plan to start a media consulting business for churches. I am already employed at a church with about 10 other churches looking to get me to come in on weekends and help them.   A loan at 9.79% is extremely more feasible than paying off 2 credit cards with ridiculously high interest rates!  Thanks!",762xx,TX,5.6,0,4/1/1994,2,NA,NA,6,0,22.3,7,FALSE,0,NA,22%,1
M1401008,Fully Paid,Southern Ute Indian Tribe,2 years,RENT,35220,n,"This loan is to purchase the mobile home my wife and son and I have lived in for the past year.  The cost to repay the loan will only be slightly higher than my rent, so I will have no trouble paying it off.  I have a steady job as a teacher and I will continue to make more money each year.",811xx,CO,14.07,0,10/1/1999,1,NA,NA,7,0,56.2,21,FALSE,0,NA,56%,1
M1401009,Fully Paid,Flowerwood Nursery,8 years,RENT,25000,n,Just need help with some high intrest credit cards that I will pay off and close. I know my credit score is at the line of fair to good.So if you can help me it would be great. Thank you for your time.,398xx,GA,22.22,0,7/1/1997,0,NA,NA,5,0,69.6,8,FALSE,0,NA,70%,1
M1401010,Fully Paid,Insurance Services,< 1 year,OWN,60000,n,"I currently have $15,000 spread out over 7 credit cards- with interest rates ranging from 9.99% to 18.99%.  I would like to consolidate this debt into one loan so that I can reduce my interest rate and pay it off in a timely manner.  I own my car outright- I have moved back in with my parents and pay no rent or utilities while I am paying off my debt.  Last year I grossed $48,000 and this year I am looking at a considerable increase in salary.  I have established credit for over 8 years without any late payments on record.  I pay ontime- everytime!  I have a degree in Business from one of the nation's top business schools and currently work at an insurance brokerage-  this debt was incurred while going to school full time while funding my sick grandmother's last two years of life.  I am on track to be succesful but simply need to eliminate my debt.  I hope you will consider my request and approve my loan.  Respectfully Yours-",959xx,CA,17.5,0,6/1/2001,0,NA,NA,11,0,81.6,20,FALSE,0,NA,82%,1
M1401011,Fully Paid,G.S Curran  and  Company  Ltd.,2 years,RENT,50004,n,Paying off high interest rate credit cards,708xx,LA,20.78,0,8/1/2004,1,NA,NA,9,0,100,12,FALSE,0,NA,100%,1
M1401012,Fully Paid,Carey International,10+ years,RENT,125000,n,"This is to Consolidate some CCs and pay for some uninsured dental work. I always pay my Bills ontime and had an unexpected tax bill and dental bills this christmas. I have never been late for a payment. I am always ontime with my payments and appreciate any consideration,  I have long tenure with my employer.  I had an unexpected Tax bill and some uninsired dental work this christmas. Just an extra note to potential lenders,  I am easily able to manage this payment,  my DTI is low,  I am tired of paying Chase (who took over Wamu) three times the minimum every month only to see my balance dropping slowly.   I also was not expecting to have to have Dental surgery in December,  a massive 3000 dollars worth.   I pay every bill I have ontime and am not in any form of struggle.  I simply want to close the Wamu (Chase) account and pay my endodontist off.  A tax error discovered in september diminished my savings.    Thankyou for any consideration.",217xx,MD,5.49,0,7/1/2006,0,NA,NA,5,0,85.3,8,FALSE,0,NA,85%,1
M1401013,Fully Paid,University of Texas-Austin,< 1 year,RENT,40000,n,"I am relocating from Austin, TX to Chicago for a summer internship and I will be using the loan to cover expenses while I am not being paid.  I am a graduate student at the University of Texas-Austin, and will be studying and doing education policy work this summer with Teach for America.",787xx,TX,21.87,0,11/1/2003,0,39,NA,9,0,77,17,FALSE,0,NA,77%,1
M1401014,Fully Paid,NA,< 1 year,RENT,40000,n,567574 added on 11/05/09 > Thanks for you all that are helping me ;),342xx,FL,16.35,0,11/1/2004,0,30,43,6,1,60.9,17,FALSE,0,NA,61%,1
M1401015,Charged Off,national bronze,9 years,MORTGAGE,50000,n,NA,440xx,OH,7.32,0,2/1/2002,0,NA,NA,7,0,36.3,16,FALSE,0,NA,36%,1
M1401016,Fully Paid,NA,4 years,RENT,38000,n,Let's get this filled I need it in less than a week. I am going to purchase a boat with this money.  I have perfect credit and have never missed or have been late on any payment.  I own a stable painting company as well as an internet business.  I strive to keep my gredit perfect. Feel free to ask me any questions you like.,604xx,IL,14.78,0,9/1/1977,2,NA,NA,16,0,18.1,27,FALSE,0,NA,18%,1
M1401017,Charged Off,Oce Business,10+ years,RENT,33000,n,Personal/Trip,902xx,CA,20.98,0,1/1/1996,1,NA,NA,10,0,94,20,FALSE,0,NA,94%,1
M1401018,Fully Paid,ArcherPoint,2 years,MORTGAGE,114000,n,I need to refinance a credit card loan that has had the APR reset to a higher rate than the initial one.  We have used it for moving purposes form California to Texas.  I am employeed as a software developer w/ a company that is nationwide and is the reason that I moved to work in a different market w/ the same company.,750xx,TX,14.33,0,6/1/1991,0,NA,NA,12,0,92.3,29,FALSE,0,NA,92%,1
M1401019,Fully Paid,marvell technology group,6 years,MORTGAGE,70000,n,NA,951xx,CA,2.95,0,7/1/2000,1,NA,NA,10,0,5.8,26,FALSE,0,NA,6%,1
M1401020,Fully Paid,General Electric,4 years,RENT,83000,n,Load to finance honeymoon for my future wife and I in favor of variable credit card rates and high interest.  Loan will help bridge some of the immediate wedding and newlywed expenses we are incurring.,031xx,NH,18.88,0,10/1/2003,1,30,NA,11,0,22.1,25,FALSE,0,NA,22%,1
M1401021,Fully Paid,Build.com,3 years,RENT,24000,n,"Please help me pay off my timeshare and credit cards so I have only one payment and a much lower interest rate for it all. Thank you so much, Andrew",959xx,CA,7.7,0,12/1/1997,0,NA,NA,5,0,24.1,9,FALSE,0,NA,24%,1
M1401022,Charged Off,Jones Brothers Grading,3 years,RENT,30000,n,"Hello. I have been accepted into the school of my dreams, and I need some help paying for my education. This loan will greatly help me achieve my goals.",296xx,SC,10.56,0,5/1/2000,3,31,NA,8,0,10.4,11,FALSE,0,NA,10%,1
M1401023,Fully Paid,veterans affairs medical center,5 years,MORTGAGE,48000,n,NA,534xx,WI,5.2,0,9/1/2002,2,72,NA,9,0,33.8,25,FALSE,0,NA,34%,1
M1401024,Fully Paid,Bowen Photography,< 1 year,RENT,15000,n,NA,301xx,GA,1.2,0,10/1/1987,2,NA,NA,3,0,19.8,13,FALSE,0,NA,20%,1
M1401025,Fully Paid,SIRVA Relocation,3 years,MORTGAGE,46000,n,NA,727xx,AR,15.1,1,1/1/1999,1,20,NA,10,0,84.5,18,FALSE,0,NA,84%,1
M1401026,Fully Paid,Above the Title Ent.,2 years,RENT,30000,n,NA,100xx,NY,7.2,0,10/1/1991,1,38,NA,6,0,89.3,11,FALSE,0,NA,89%,1
M1401027,Fully Paid,Equant,5 years,RENT,95000,n,"I am planning to start a side business to my current job that pays well.  The project is to start my consulting company with a partner to offer Sourcing and Negotiation advice and support in the High tech and media fields. I have a 7-year experience including negotiation of big outsourcing, multi-million dollar master services agreement and supply deals for major companies. I will also rely on a great business network that I have acquired for these years and contacts who perfectly know my abilities.  The load which is a partial funding of the costs to start the company will help pay for a web site and miscellaneous business set up fees and basic resources (Laptop, prints, registrations, etc).  I could easily finance these $5,600 myself by selling stocks or getting out of few financial investments I have but the transaction and transfer fees would cost me more than the interest I would pay on a loan!  My current income (base gross income above $7,000 per month + bonus) and monthly average spend will allow to repay the loan easily and it is likely that I will pay off the loan entirely after 6 months as I will afford it.  I have currently no debt, no mortgage, no autoloan, no student to repay.  Thanks for your contribution and for lending money to a promising business.",100xx,NY,0.13,0,3/1/2007,1,0,0,1,0,26.8,1,FALSE,0,NA,27%,1
M1401028,Fully Paid,Target,4 years,RENT,35000,n,NA,853xx,AZ,21.81,0,4/1/2005,0,61,NA,4,0,100,12,FALSE,0,NA,100%,1
M1401029,Fully Paid,US Army,4 years,RENT,43200,n,NA,220xx,VA,9.67,0,2/1/2008,0,NA,NA,5,0,72.5,6,FALSE,0,NA,72%,1
M1401030,Fully Paid,KubickiDraper,5 years,RENT,35000,n,"I would like this loan because I borrowed money from my mother to have my transmission and water pump repaired.  I also would like to get this loan so that I can pay her back all at once.  I am a Legal Assistant at a law firm and I have been there for 5.9 years. I will be able to pay this loan back as I can afford it.  Also, my job is secure as the firm has not had a problem with the recession.  Please feel free to ask me questions.  Thank you for your time.",331xx,FL,22.01,0,2/1/1998,0,NA,NA,14,0,82.6,21,FALSE,0,NA,83%,1
M1401031,Fully Paid,Mustell & Borrow Law Firm,3 years,RENT,47756,n,NA,331xx,FL,17.19,0,9/1/1993,0,45,NA,5,0,81.4,24,FALSE,0,NA,81%,1
M1401032,Charged Off,Lakeside Sandwich Shop,2 years,OWN,20800,n,Paying off accumulated school debt null,762xx,TX,19.62,0,6/1/2003,3,NA,NA,7,0,42.3,9,FALSE,0,NA,42%,1
M1401033,Charged Off,Cracker Barrel,2 years,RENT,30000,n,NA,350xx,AL,6.2,0,12/1/2006,0,NA,NA,5,0,48.1,6,FALSE,0,NA,48%,1
M1401034,Charged Off,NA,10+ years,OWN,56000,n,"Re: Investor questions...I have received a number of inquiries about my loan, most asking about my length of employment and if I own my home.  My main employment is with my spouse's internet business.  Rather than a set salary, we pay all our expenses through the business, along with Social Security and pension funds.  I have been employed at this business for over 10 years.  The house I live in is also in my spouse's name, it is completely paid for and mortgage-free.  However, I would not use my home as collateral for this loan, instead, I would use my truck, which has a value of $7,500.00.  It is my intention that this sideline business pay for itself rather than rely on any co-mingled funds, thus the loan request for upgrading my services.  Thank you for your questions and your interest in my loan request.",060xx,CT,13.26,0,6/1/1978,2,65,103,14,1,89.7,23,FALSE,0,NA,90%,1
M1401035,Charged Off,Cree  Inc,6 years,MORTGAGE,69996,n,"Consiladate my debit to one payment, with a lower intrest rate, and have the debit paid off faster.",275xx,NC,19.34,0,8/1/1998,1,NA,NA,15,0,26.1,38,FALSE,0,NA,26%,1
M1401036,Fully Paid,Northeast Utilities,5 years,MORTGAGE,72000,n,"Would like a loan to pay for wedding expenses like : catering, dj, flowers, photographer, the dress and accessories.",060xx,CT,11.35,0,2/1/2000,3,NA,NA,10,0,17.8,25,FALSE,0,NA,18%,1
M1401037,Fully Paid,Southern Construction Supply,10+ years,RENT,30000,n,NA,705xx,LA,21.72,0,8/1/1997,8,NA,NA,8,0,96.4,26,FALSE,0,NA,96%,1
M1401038,Fully Paid,NA,n/a,RENT,12000,n,"I have been dreaming of starting my own business for awhile now, and you can make this dream come true.  I have been restoring my credit for the last couple of years which i feel should give you confidence and peace of mind knowing that I am responsible and dedicated to repay this loan.",864xx,AZ,5.8,0,3/1/2005,2,NA,NA,4,0,43.9,11,FALSE,0,NA,44%,1
M1401039,Current,KQTV,5 years,MORTGAGE,42000,n,"Looking for loan to consolidate debt. I have credit scores of 802, 787 and 789. Any help would be appreciated. Thanks!  Borrower added on 11/25/11 > My average monthly payment on revolving debt is approx. $700. Consolidating would lower my montly debt payment to just under $400. I'm never late on my current payments.",645xx,MO,23.83,0,10/1/1995,2,NA,NA,13,0,33.1,26,FALSE,0,NA,33%,1
M1401040,Fully Paid,Adelyte Company,5 years,RENT,30000,n,"This loan will refinance an existing loan that has a nearly identical balance, payment, and term. The payments toward this loan are already part of my personal budget, and I am not netting additional debt.  At the beginning of the year, I borrowed $15,000 from a friend and agreed to make monthly payments of at least $300 to him. I have made 10 payments of $350 to date. Unfortunately, my friend has incurred unexpected expenses and could use the money back. I offered to get a loan elsewhere and pay him back in full.",778xx,TX,23.52,0,1/1/1992,2,NA,NA,13,0,12.4,17,FALSE,0,NA,12%,1
M1401041,Fully Paid,Gilbert Express,5 years,RENT,50000,n,"All $$$ will be used for debt consolidation, payment will be done monthly .   Borrower added on 12/13/11 > I am working for this company for more than 5 years.   Borrower added on 12/13/11 > Paying bills on time.",115xx,NY,17.81,0,12/1/2001,1,NA,NA,13,0,60.4,21,FALSE,0,NA,60%,1
M1401042,Fully Paid,ups,6 years,MORTGAGE,67000,n,looking for financing for a 67 mustang,339xx,FL,8.87,0,3/1/1999,1,54,NA,9,0,17.8,22,FALSE,0,NA,18%,1
M1401043,Fully Paid,Client Services Inc,1 year,RENT,30000,n,I am starting a new job on Monday and my 1st paycheck will not be available until the end of October. I will not need to pay this loan back in payments because I am selling my car. I will pay back this loan in full once it sells. Thank you.,620xx,IL,19.24,0,3/1/2005,0,32,NA,14,0,32.6,28,FALSE,0,NA,33%,1
M1401044,Fully Paid,Myrtle Beach Health Dept,8 years,OWN,50000,n,NA,295xx,SC,7.92,0,12/1/1999,1,NA,NA,5,0,49.2,13,FALSE,0,NA,49%,1
